l3_code,l3_name,l3_domain,l1_code,vn_id,vn_name,vn_composition,vn_physical_form,vn_start_point,vn_end_point,m_anchor,kpi_anchor,attr1_business_position,attr2_value_property,attr3_physical_existence,attr4_data_validation,gate1_data_linked,gate2_grounded,gate3_traceable,overall_judgment,is_fused,priority,notes
L3-CRR,合作伙伴续约管理,JD,L1-05,VN-CRR-02,续约前流失预警报告,高风险合作伙伴名单 + 预警触发原因 + 介入动作记录 + 处置结果,待建（当前完全空白，流程不存在）,到期前N天系统或人工触发（触发规则待业务方裁定）,介入动作完成 / 预警关闭（续签确认或终止确认）,M4 业务与市场渗透; M7 产品策略与团队治理,T11续约前流失预警处置率、预警触发准确率、介入完成率,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,True,P1,对象重新定义后新增；包含L4-CRR-10~11，商务岗当前缺位
L3-SSD,同行经代服务方案设计,EQ,L1-04,VN-EQ-01,同行经代服务方案,《服务方案框架设计》+《个性化方案编写与评审》（框架+个性化双子产物）,Word/PPT方案文件,同行经代合作意向+机构需求,《服务方案》[审核通过+机构确认版],M3 NGP; M4 业务与市场渗透,方案审核通过率、同行经代合作转化率,PASS,PASS,PASS,PASS,FAIL,PARTIAL,FAIL,FAIL,True,P1熔断,建立服务方案框架模板；区分合同与方案的物理形态，补齐个性化方案产物
L3-RSD,权益方案框架设计,EQ,L1-05,VN-EQ-02,初版权益规划方案,《初版权益规划方案》+《权益成本测算表》+《权益测算模型表》+《权益商务&财务路径图》,Word/PPT/Excel·方案文件+测算表,业务线需求/佣金点位（预算）,《初版权益规划方案》[内部评审版],M4 业务与市场渗透; M7 产品策略与团队治理,方案评审通过率、方案交付周期,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,False,P1,调研确认(2026-06-11):对外实际交付物，完整端到端方案；RSD-02/03/04为中间产物已删除VN标记
L3-RPD,权益包设计与发布,EQ,L1-05,VN-EQ-03,权益推广素材包,权益海报/PPT/宣达文案,PPT/图片/文案素材包,权益包发布确认,《权益推广素材包》[可用状态],M4 业务与市场渗透; M6 业务渗透,推广素材使用率、业务线触达率,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P1,调研确认(2026-06-11):RPD-01/02为内部配置不纳入VN；RPD-06交付物细化为四张配置表
L3-OBC,权益方案目标确认与共识达成,EQ,L1-05,VN-EQ-04,终版权益规划方案,《终版权益规划方案》（对外交付物）,Word/PPT方案文件,初版方案评审反馈,《终版权益规划方案》[Mark签核版],M4 业务与市场渗透; M7 产品策略与团队治理,方案审批通过率、决策周期,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P1,调研确认(2026-06-11):OBC-01/02为内部步骤不纳入VN
L3-CDS,权益相关商务合同起草与签订,EQ,L1-05,VN-EQ-05,已签权益商务合同,已签署合同/RW协议登记表,PDF签署版 + 登记表,权益包发布 + 合同要点确认,合同签订完成,M7 产品策略与团队治理; M8 财务结算,合同签署周期、合同合规率,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,False,P1,调研确认(2026-06-11):合同签订在权益包设计完成后才能确定内容
L3-SPD,服务流程配置与培训,EQ,L1-05,VN-EQ-06,权益内训素材包,服务使用规则、服务凭证管理要求、RW权益包配置表、内训素材,PPT/文档/视频,权益包配置完成,《权益内训素材包》[培训完成],M1 中台运营; M6 业务渗透,培训覆盖率、客户使用熟练度,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P1,调研确认(2026-06-11):新增服务凭证管理要求交付物
L3-COB,客户入驻权益服务启动,EQ,L1-05,VN-EQ-07,客户权益赋能包,内训素材；权益包使用规则；服务使用规则,权益方案宣达确认（无标准化交付物）,合同签署完成 + 系统账户初始化,《客户权益赋能包》[客户确认],M4 业务与市场渗透; M6 业务渗透,客户入驻确认率、赋能完成率,PASS,PARTIAL,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,False,P1,调研确认(2026-06-11):客户赋能无标准化确认交付物，建议建立确认模板
L3-SDS,服务相关商务合同起草与签订,EQ,L1-05,VN-EQ-08,已签服务协议,已签服务协议/RW协议登记表,已签服务协议/合同文件（Word/PDF签署版）,服务寻源与设计完成,《已签服务协议》[双方盖章版],M7 产品策略与团队治理; M8 财务结算,协议签署周期、服务上线率,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,False,P1,调研确认(2026-06-11):上账号前必须全部签完
L3-SLM,权益上市推广,EQ,L1-05,VN-EQ-09,权益上市推广素材,上市推广素材/触达记录,权益上市推广素材（海报/PPT/宣达文案）,结算完成,《权益上市推广素材》[发布完成],M4 业务与市场渗透; M6 业务渗透,目标受益方触达率、推广转化率,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P0熔断,调研确认(2026-06-11):8个L4完整上市推广流程完全不存在，待预算确认后激活
L3-EO,理财师权益分级与绩效监控,AGT,L1-05,VN-EQ-10,理财师分级清单,《理财师分级清单》,理财师分级清单（系统导出/Excel）,业绩数据 + 分级规则,《理财师分级清单》[公示版],M2 KPI报表; M6 业务渗透,分级准确率、公示申诉率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P2(待确认),调研确认(2026-06-11):主要执行在天领运营团队，权益部门仅提供规则支持；9个L4中仅EO-01确认有交付物
L3-CDA-SRA,权益客户需求诊断与服务需求分析,EQ,L1-05,VN-EQ-11,经确认的客户权益需求清单,《权益需求收集表》+《服务需求确认单》,需求确认记录（邮件/会议纪要/确认单）+ 签字版需求清单,业务线提需求,《经确认的客户权益需求清单》v.final,M1 中台运营; M6 业务渗透,需求确认完整率、需求变更率,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,由L3-CDA与L3-SRA合并生成；L4-CDASRA-02交付物已裁定为《经确认的客户权益需求清单》
L3-FBA,理财师业务分析,AGT,L1-04,VN-FBA-01,月度/季度经营分析报告,《月度业绩报表》+《理财师活动率分析表》+《转化情况追踪表》+《分公司经营分析报告》,Excel/文档,业绩数据收集,上报总部,M1 中台运营; M2 KPI报表; M4 业务与市场渗透,报告准确率、分析覆盖率、偏差发现及时率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：川渝已形成经营分析模型，其他分公司正在建设；总部经营输出尚未到位
L3-FLM,理财师线索挖掘与招募,AGT,L1-04,VN-FLM-01,招募计划与执行记录,《分公司招募计划表》+《招募线索登记表》+《面试评估记录》,Excel/纸质文档,招募需求提出,执行记录归档,M1 中台运营; M4 业务与市场渗透,招募计划完成率、招募执行覆盖率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：招募全员责任，组织发展经理主责；年初有人力大数要求但上半年未严格追踪；执行有差异
L3-FOB,理财师入职与上岗,AGT,L1-04,VN-FOB-01,转介协议及附属协议签署版,《转介协议》+《权益协议》+《培训协议》+《顾问协议》签署版,PDF/纸质签署版,入职资料审核,寄总部归档,M7 产品策略与团队治理; M8 财务结算,协议签署率、归档完整率,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,批次9调研：转介协议及各类附属协议签署后寄总部归档，有明确物理交付物
L3-FOB,理财师入职与上岗,AGT,L1-04,VN-FOB-02,新人90天培养计划,《新人90天培养计划》（含月1熟悉公司/月2产品+陪访/月3推晋升）,PPT/Excel/文档,入职完成,培养完成评估,M1 中台运营; M4 业务与市场渗透,新人留存率、首单转化率、培养目标达成率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：成都重庆已有成熟90天培养模型；新分公司正在整合标准；需标准化为全公司统一模板
L3-FOR,理财师运营支持,AGT,L1-04,VN-FOR-01,首单陪跑记录,《首单陪跑记录》（含组织发展经理/团队长/产品经理/副总跟进记录）,Excel/文档,新人入职,记录归档,M1 中台运营; M4 业务与市场渗透,首单转化率、陪跑覆盖率、出单周期,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：首单陪跑有执行，组织发展经理/团队长/产品经理/副总多角色跟进
L3-FOR,理财师运营支持,AGT,L1-04,VN-FOR-02,月度营销启发案,《月度营销启发案》（含活动安排、推动策略、出单目标）,PPT/文档,月度周期触发,效果评估,M4 业务与市场渗透; M6 业务渗透,营销启发案执行率、活动参与率、恒常出单率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：每月有营销启发案，推动恒常出单（BIU运营）
L3-FPG,理财师绩效与激励,AGT,L1-04,VN-FPG-01,月度/季度考核指标表,《月度/季度考核指标表》（含月1激活率/客户名单量/约访量；月2转化率/陪访；月3晋升率）,Excel,指标设定,执行评估,M2 KPI报表; M7 产品策略与团队治理,指标定稿率、指标覆盖率、绩效挂钩执行率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：考核指标正在制定中，尚未定稿；需明确月1/月2/月3不同重点指标
L3-FPG,理财师绩效与激励,AGT,L1-04,VN-FPG-02,季度激励方案,《季度激励方案》（含激励规则、核算标准、发放记录）,Excel/文档· 季度方案（非强制协议），按进人/产能给予支持,季度周期触发,发放,M4 业务与市场渗透; M8 财务结算,激励方案覆盖率、核算准确率、发放及时率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：季度激励方案有执行；非强制协议形式；需加强与考核指标和晋升的联动
L3-FTR,理财师培训与转介签约,AGT,L1-04,VN-FTR-01,培训课程体系（含配套工具）,《培训课程体系》+配套督导工具+表格+资料库,PPT/视频/表格· 总部在做资料库，通过微盘分发,培训需求,分发,M1 中台运营; M4 业务与市场渗透; M5 AI自动化,培训覆盖率、资料使用率、培训满意度,PASS,PASS,PASS,PASS,PARTIAL,FAIL,FAIL,FAIL,True,P1,批次9调研：总部在做资料库，含配套督导工具、表格；通过微盘分发；理财师自取或行政再分发
L3-SPE,人员绩效管理流程,STG,L1-03,VN-HR-03,绩效方案,《绩效方案》(按岗位/板块下发),Excel/Word绩效方案 · xlsx/docx,Mark确定业务目标 + HR拆解KPI,《绩效方案》[被考核人确认版],M0 数理基建; M2 KPI报表; M7 产品策略与团队治理,绩效方案覆盖率、绩效方案及时率、绩效考核结果应用率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,对外交付物-业务部门/员工
L3-HRA,人力分析与决策支持流程,HR,L1-04,VN-HR-04,人效分析报告,《人效分析报告》(含行业/历史对标),Excel/PPT分析报告 · xlsx/pptx,人力数据采集 + 财务数据对接,《人效分析报告》[管理层审阅版],M0 数理基建; M2 KPI报表; M3 NGP,人效分析覆盖率、分析结论采纳率、报告产出时效,PASS,PASS,PASS,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,P1,对外交付物-管理层/Mark
L3-HRA,人力分析与决策支持流程,HR,L1-04,VN-HR-05,人力资源诊断与改善建议报告,《人力资源诊断与改善建议报告》(问题清单+根因+建议+责任),Word/PPT报告 · docx/pptx,人效/成本/薪酬/流失率分析,《诊断报告》[改善行动可跟踪版],M0 数理基建; M2 KPI报表; M7 产品策略与团队治理,诊断报告覆盖率、改善建议执行率、问题闭环率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,PARTIAL,FAIL,True,P0,对外交付物-管理层/Mark
L3-HRM,人员全生命周期管理流程,HR,L1-03,VN-HR-06,岗位编制方案,《岗位编制方案》+《岗位JD》,Excel/Word编制方案 · xlsx/docx,业务目标 + 工作量分析,《岗位编制方案》[Mark/业务部门确认版],M0 数理基建; M1 中台运营; M7 产品策略与团队治理,编制准确率、岗位设计认可度、编制执行偏差率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,对外交付物-业务部门/管理层
L3-HRM,人员全生命周期管理流程,HR,L1-03,VN-HR-07,员工劳动合同,《劳动合同》/《Offer》,纸质合同(双签盖章) + 电子Offer · pdf,招聘录用决策,《劳动合同》[员工签字+公司盖章生效],M0 数理基建; M7 产品策略与团队治理; M8 财务结算,合同签署及时率、合同合规率、员工档案建档率,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,False,P0,对外交付物-员工
L3-HRM,人员全生命周期管理流程,HR,L1-03,VN-HR-08,员工成长路径方案,《员工成长路径方案》+《考核方案》,Word/Excel方案 · docx/xlsx,员工入职/晋升 + 岗位序列分析,《成长路径方案》[员工确认版],M2 KPI报表; M6 业务渗透; M7 产品策略与团队治理,成长路径覆盖率、路径方案执行率、员工晋升率,PASS,PASS,PASS,PASS,PARTIAL,FAIL,PARTIAL,FAIL,True,P1,对外交付物-员工
L3-HRM,人员全生命周期管理流程,HR,L1-03,VN-HR-09,绩效考核结果,《绩效考核结果》(KPI得分+绩效等级+改进建议),Excel/系统记录 · xlsx/系统界面,绩效方案目标 + 考核周期执行,《绩效考核结果》[被考核人确认版],M2 KPI报表; M7 产品策略与团队治理; M8 财务结算,考核覆盖率、考核结果确认率、结果应用率(调薪/晋升/培训),PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,对外交付物-员工/业务部门
L3-HRM,人员全生命周期管理流程,HR,L1-03,VN-HR-10,员工档案,《员工档案》(全周期记录:基本信息+合同+绩效+培训+薪酬+晋升+离职),纸质档案袋 + Excel/系统记录 · xlsx/系统界面,员工入职,全生命周期记录积累,M0 数理基建; M2 KPI报表; M7 产品策略与团队治理,档案完整率、档案准确率、档案查询响应时效,PASS,PASS,PASS,PASS,PARTIAL,FAIL,PARTIAL,FAIL,True,P0,对外交付物-企业/管理层
L3-SPE,人员绩效管理流程,STG,L1-03,VN-HR-11,人工成本报表,《人工成本报表》（按主体/业务线拆分）,Excel报表 · xlsx,人员成本数据采集 + 业务线归属确认,《人工成本报表》[财务/敏然确认版],M0 数理基建; M2 KPI报表; M8 财务结算,报表准确率、报表及时率、数据完整率,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,False,P1,对外交付物-财务/敏然；每月提供，财务按主体分、敏然按业务线分
L3-SPE,人员绩效管理流程,STG,L1-03,VN-HR-12,人员归属表,《人员归属表》（含业务线分配）,Excel报表 · xlsx,Fiona提供员工名单 + 敏然补充业务线归属,《人员归属表》[各部门确认版],M0 数理基建; M1 中台运营; M2 KPI报表,归属准确率、更新及时率、覆盖率,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,False,P1,对外交付物-各部门；Fiona名单→敏然补充业务线→各部门分发
L3-HRM,人员全生命周期管理流程,HR,L1-03,VN-HR-13,人员预算表,《月度人员预算表》,Excel预算表 · xlsx,预计人数 + 薪酬结构 + 资金需求,《人员预算表》[财务确认版],M0 数理基建; M1 中台运营; M8 财务结算,预算准确率、预算提交及时率、资金准备充足率,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P1,对外交付物-财务；内地每月25号提交，香港提前5天
L3-HRM,人员全生命周期管理流程,HR,L1-03,VN-HR-14,工资发放凭证,《工资发放记录》+ 银行转账凭证,Excel记录 + 银行回单 · xlsx/pdf,薪酬计算确认 + 资金到位,《工资发放凭证》[员工确认+财务归档版],M0 数理基建; M7 产品策略与团队治理; M8 财务结算,发放准确率、发放及时率、凭证完整率,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,False,P0,对外交付物-员工/财务；每月10号发薪
L3-IBRD,合作伙伴需求分析与诊断,JD,L1-02,VN-IBRD-01,合作伙伴尽调记录,牌照核查结果+保司Alice确认+团队配置+业务模式+过往经验,分散记录（口头沟通+微信记录+牌照截图+入系统记录，无标准化文档）,业务端（白博文、江通等）推送的同行机构信息,其他TR签单,M0 数理基建; M1 中台运营; M4 业务与市场渗透; M7 产品策略与团队治理,尽调记录完整率、尽调通过率,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,FAIL,FAIL,True,P0,按实际调研调整：流程蓝图中的业务目标量化在实际执行中完全未提及。尽调结果以分散记录形式存在，无标准化文档。【批次7确认】同行来源路径分散（白博文→MOMO→交付经理 vs 江通→菲菲），交付经理与TR职责重叠，合同签署后置。【批次8-MoMo补充】存在SLHK同行登记表实际管理工具（MoMo/菲菲/Mark三人同步），dim_process未定义；MoMo确认存在业务启动会PPT、滴滴phone系统、线上开户等实际步骤；合同后置根因为内商务岗位缺失，非策略选择；BD画像表填不回来时需由中台业务主动与同行沟通填补；系统支撑不足（IT系统bug多）。
L3-IBRD,合作伙伴需求分析与诊断,JD,L1-02,VN-IBRD-02,合作伙伴合作复盘与决策记录,《合作复盘报告》+《合作决策记录》（继续/调整/终止）,合作复盘会议纪要/报告 + 决策审批记录,合作运行一段时间后,完成合作复盘与决策,M4 业务与市场渗透; M7 产品策略与团队治理,合作方续约率、合作模式调整周期、复盘覆盖率,PARTIAL,PARTIAL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,True,P1,2026-06-24 新增：原 L4-IBPCR-01 合作复盘与决策并入 L3-IBRD 后识别 | 2026-06-24 初步评估：合作复盘与决策目前无标准化模板/会议机制，物理载体缺失，数据验证未建立；待业务方（Mark/MoMo）复核确认
L3-IAO,保司合作接洽与评估,INS,L1-01,VN-INS-01,可行性报告,《可行性报告》,Word/PDF报告 · docx/pdf,保司市场情报+战略方向指示+历史接触记录,触发L3-IAC,M0 数理基建; M4 业务与市场渗透,待调研确认,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,True,P1,流程终点交付物，Mark签批后触发下游授权谈判；Mark确认: 可行性报告不存在（原r36并入，2026-07-30 W9-31；r36 l3_name「目标保司识别与初步接触」以 PG dim_process 口径「保司合作接洽与评估」为准，不予采纳） | VS-01批次7(2026-05-28)Mark确认: 可行性报告框架待建设; 触发=季度+跃升事件; L4-IAO从7→6(删除NDA); 岗位=Mark/牌照端负责人
L3-IAC-AUTH,授权确认（拆分后）,INSOPS,L1-01,VN-INS-02,已签合同+备案号,已签署合同+监管备案号,PDF签署版 + 备案凭证,合同终稿双方认可,触发L3-IRI,M7 产品策略与团队治理; M8 财务结算,待调研确认,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,流程终点法律文件，交付法务/监管/保司三方 | VS-01批次7(2026-05-28)Mark确认: IAC拆分为谈判+授权确认; 让步边界清单待建设; 岗位=Mark/法务/业务团队
L3-IAC-NEG,合同谈判（拆分后）,INSOPS,L1-01,VN-INS-02,已签合同+备案号,已签署合同+监管备案号,PDF签署版 + 备案凭证,合同终稿双方认可,触发L3-IRI,M7 产品策略与团队治理; M8 财务结算,待调研确认,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,流程终点法律文件，交付法务/监管/保司三方 | VS-01批次7(2026-05-28)Mark确认: IAC拆分为谈判+授权确认; 让步边界清单待建设; 岗位=Mark/法务/业务团队
L3-IRI,保司资源整合与深度对接,INS,L1-01,VN-INS-03,整合就绪确认书,《整合就绪确认书》,签字版确认书 · pdf,L3-IAC合同生效 + DIM_License写入,触发L3-IBE,M6 业务渗透; M7 产品策略与团队治理,整合就绪确认书签署率、整合就绪签署及时率,PASS,PARTIAL,PARTIAL,PASS,PASS,PASS,PARTIAL,PARTIAL,False,P1,流程终点签字交付物，确认整合就绪后触发运营赋能 | VS-01批次7(2026-05-28)Mark确认: 整合就绪确认书口头→建议升级签字; 岗位=业务团队/IT团队
L3-IBE,保司业务运营赋能,INS,L1-01,VN-INS-04,认证名单,《认证名单》,Excel/系统记录 · xlsx,培训课程完成 + 认证考核通过,《认证名单》[保司确认版],M6 业务渗透,认证名单准确率、名单更新及时率,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,True,P0熔断,交付给保司（外部）的最终确认文件 | VS-01批次7(2026-05-28)Mark确认: 能力基线报告实际不做待建设; 持续运营型; 岗位=A族和B族共享KPI
L3-IPI-ONB,产品上架（拆分后）,INSOPS,L1-01,VN-INS-05,Portfolio分析报告,《Portfolio分析报告》,Excel/PPT分析报告 · xlsx/pptx,产品上架后多维业绩数据,《Portfolio分析报告》[管理层决策参考版],M2 KPI报表; M6 业务渗透,待调研确认,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,管理层决策参考的最终分析报告 | VS-01批次7(2026-05-28)Mark确认: Portfolio管理报告实际存在; L4-IPI从6→5(删除下架·只上不下); 岗位=产品运营团队 | 【2026-06-01拆分完成】L3-IPI→IPI-Onb(产品上架·8L4:01/02/03/04/05/06/09/11)+IPI-Ops(日常运营·4L4:08/10/12/13)；原L4-IPI-07下架步骤已废弃
L3-IPI-OPS,日常运营（拆分后）,INSOPS,L1-01,VN-INS-05,Portfolio分析报告,《Portfolio分析报告》,Excel/PPT分析报告 · xlsx/pptx,产品上架后多维业绩数据,《Portfolio分析报告》[管理层决策参考版],M2 KPI报表; M6 业务渗透,待调研确认,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,P0,管理层决策参考的最终分析报告 | VS-01批次7(2026-05-28)Mark确认: Portfolio管理报告实际存在; L4-IPI从6→5(删除下架·只上不下); 岗位=产品运营团队 | 【2026-06-01拆分完成】L3-IPI→IPI-Onb(产品上架·8L4:01/02/03/04/05/06/09/11)+IPI-Ops(日常运营·4L4:08/10/12/13)；原L4-IPI-07下架步骤已废弃
