kpi_id,kpi_code,kpi_level,kpi_type,is_mark_kpi,名称_中,名称_英,指标类型,视角主轴,战略锚点,合规红线,计算公式,单位,方向,目标值,阈值,周期,可算性,数据源,数据Owner,落责岗位,领先于,反KPI,置信度,关键少数,authority_status,pending_decision
KPI_16,内部-PI-16,企业级,企业registry,False,签单转化率,Sign Conv.,PI,内部流程,L1-02;L1-03;L1-04;L1-05,否,签单/预约,%,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_POLICY,廖小溪(保单状态),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_17,内部-PI-17,企业级,企业registry,False,递交转化率,Submit Conv.,PI,内部流程,L1-01;L1-02;L1-05,否,递交/签单,%,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_POLICY,廖小溪(保单状态),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_18,内部-PI-18,企业级,企业registry,False,核保转化率,UW Conv.,PI,内部流程,L1-01;L1-04,否,核保通过/递交,%,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_POLICY,廖小溪(保单状态),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_19,内部-PI-19,企业级,企业registry,False,结算转化率,Settle Conv.,PI,内部流程,L1-03;L1-04;L1-05,否,结算/核保,%,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_POLICY,廖小溪(保单状态),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_20,内部-RI-20,企业级,企业registry,False,承保周期,Issue TAT,RI,内部流程,L1-01;L1-02;L1-03;L1-05,否,AVG(issue−submit),天,越小越好,Mark待决,Mark待决,月,可直接算,FCT_POLICY,廖小溪/数据,单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_21,内部-RI-21,企业级,企业registry,False,结算周期,Payment TAT,RI,内部流程,L1-01;L1-03;L1-04;L1-05,否,AVG(settle−submit),天,越小越好,Mark待决,Mark待决,月,补数据后可算,FCT_COMMISSION,廖小溪(保单状态),单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_22,内部-RI-22,企业级,企业registry,False,长周期件数,Backlog,RI,内部流程,L1-01;L1-03;L1-04,否,COUNT(backlog>阈值),件,越小越好,Mark待决,Mark待决,月,可直接算,FCT_POLICY,廖小溪/数据,无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_24,内部-RI-24,企业级,企业registry,False,首年撤单率,Cool-off,RI,内部流程,L1-04;L1-05,否,撤单/承保,%,越小越好,Mark待决,Mark待决,月,补数据后可算,FCT_POLICY,廖小溪(保单状态),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_26,客户-RI-26,企业级,企业registry,False,投诉率,Complaint Rate,RI,客户,L1-02;L1-04;L1-05,否,投诉/保单,%,越小越好,Mark待决,Mark待决,月,可直接算,FCT_SERVICE_RECORD,廖小溪/数据,单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_27,合规-KRI-27,企业级,企业registry,False,审计问题数,Audit Issues,KRI,合规风控,L1-01;L1-02;L1-03;L1-04;L1-05,是,COUNT(审计问题),个,越小越好,Mark待决,门控(红线·pass/fail),月,可直接算,FCT_SERVICE_RECORD,廖小溪/数据,5族,—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;领先于;置信度
KPI_28,合规-RI-28,企业级,企业registry,False,高风险件占比,待补,RI,合规风控,L1-01;L1-02;L1-03;L1-04;L1-05,是,高风险件/总件,%,越小越好,Mark待决,门控(红线·pass/fail),月,需外部系统,FCT_RISK,Stella团队(风控),单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;名称_英;落责岗位;领先于;置信度
KPI_29,合规-KRI-29,企业级,企业registry,False,红线命中数,待补,KRI,合规风控,L1-02;L1-03;L1-04,是,COUNT(红线命中),次,零容忍(=0),Mark待决,门控(红线·pass/fail),月,需外部系统,FCT_RISK,Stella团队(风控),单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;名称_英;落责岗位;领先于;置信度
KPI_30,客户-RI-30,企业级,企业registry,False,KA 活跃率,待补,RI,客户,L1-01;L1-02;L1-04;L1-05,否,活跃KA/总KA,%,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_POLICY,Teresa/赵琦(KA),2族,—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;名称_英;领先于;置信度
KPI_31,能力-PI-31,企业级,企业registry,False,人均 APE,Productivity,PI,能力与组织,L1-01;L1-02;L1-03;L1-04;L1-05,否,APE/人数,HKD,越大越好,Mark待决,Mark待决,月,可直接算,"FCT_POLICY, FCT_TARGET",廖小溪/数据,无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_32,能力-PI-32,企业级,企业registry,False,人均件数,Activity,PI,能力与组织,L1-03;L1-05,否,件数/人数,件,越大越好,Mark待决,Mark待决,月,可直接算,"FCT_POLICY, FCT_TARGET",廖小溪/数据,无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_33,财务-KRI-33,企业级,企业registry,False,投资回报率,ROI,KRI,财务结果,L1-02;L1-03;L1-04;L1-05,否,净营收/投入,%,越大越好,Mark待决,Mark待决,月,补数据后可算,"FCT_COMMISSION, FCT_ALLOCATED_COST",CARRIE(佣金率),单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_34,客户-RI-34,企业级,企业registry,False,新签 KA 数,待补,RI,客户,L1-02;L1-03;L1-04;L1-05,否,COUNT(新签KA),个,越大越好,Mark待决,Mark待决,月,可直接算,DIM_KA,廖小溪/数据,2族,—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;名称_英;领先于;置信度
KPI_35,客户-RI-35,企业级,企业registry,False,新签成活率,待补,RI,客户,L1-02;L1-03;L1-04;L1-05,否,存活KA/新KA,%,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_POLICY,Teresa/赵琦(KA),单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;名称_英;落责岗位;领先于;置信度
KPI_36,客户-RI-36,企业级,企业registry,False,新人留存率,待补,RI,客户,L1-01;L1-02;L1-03;L1-04;L1-05,否,存活新人/新人,%,越大越好,Mark待决,Mark待决,月,可直接算,DIM_EMP,廖小溪/数据,3族,—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;名称_英;领先于;置信度
KPI_37,能力-PI-37,企业级,企业registry,False,培训改善度,待补,PI,能力与组织,L1-02;L1-03;L1-04;L1-05,否,训后−训前,%,越大越好,Mark待决,Mark待决,月,需外部系统,FCT_POLICY,待建(培训),单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;名称_英;落责岗位;领先于;置信度
KPI_50,财务-RI-50,企业级,企业registry,False,简单赔付率,Loss Ratio,RI,财务结果,L1-02;L1-03;L1-04;L1-05,否,赔付额/保费,%,越小越好,Mark待决,Mark待决,月,需外部系统,"FCT_CLAIMS, FCT_POLICY",永明IT(理赔),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_51,内部-RI-51,企业级,企业registry,False,理赔时效,待补,RI,内部流程,L1-01;L1-02;L1-03;L1-04;L1-05,否,AVG(理赔时长),天,越小越好,Mark待决,Mark待决,月,需外部系统,FCT_CLAIMS,永明IT(理赔),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;名称_英;落责岗位;领先于;置信度
KPI-T01,客户-KPI-T01,企业级,关键少数,True,保司Pipeline周推进数,Insurer Pipeline Weekly Progress,KPI,客户,VS-1/L1-01,否,阶段推进机会数/周,个/周,越大越好,Mark待决,Mark待决,日/周,补数据后可算,保司Pipeline表(需建),战略官/IT,A族保司战略官,KPI_02·KPI_34,不为冲数滥推保司,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T02,客户-KPI-T02,企业级,关键少数,True,机构周新接洽/激活数,Agency Weekly New Engagements,KPI,客户,VS-2/L1-02,否,新接洽或激活机构数/周,个/周,越大越好,Mark待决,Mark待决,日/周,补数据后可算,机构CRM(需建),BD团队,C1机构开发,KPI_34·KPI_02,不为数量牺牲质量,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T03,客户-KPI-T03,企业级,关键少数,True,KA赋能动作完成率,KA Enablement Completion,KPI,客户,VS-3/L1-04,否,已完成赋能动作/应完成,%,越大越好,Mark待决,Mark待决,日/周,补数据后可算,赋能日志(需建),Teresa/赵琦,B族/C2,KPI_30·KPI_35,不走形式化赋能,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T04,流程-KPI-T04,企业级,关键少数,True,理财师首单陪跑五动作完成率,FA First-Deal 5-Action Completion,KPI,内部流程,VS-4/L1-04,否,完成五动作/应完成(升级L3-FOR),%,越大越好,Mark待决,Mark待决,日/周,补数据后可算,陪跑记录(需建),D族/HR,D族/E族,KPI_36·KPI_02,不为完成动作走过场,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T05,流程-KPI-T05,企业级,关键少数,True,理财师周活动量,FA Weekly Activity per Capita,KPI,内部流程,VS-4/L1-04,否,拜访或件数/人/周,件/人·周,越大越好,Mark待决,Mark待决,日/周,补数据后可算,活动表(需建),D族,D族运营,KPI_32·留存,不唯活动量看转化,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T06,流程-KPI-T06,企业级,关键少数,True,权益服务SLA响应达成率,Benefit SLA Attainment,KPI,内部流程,VS-5/L1-05,否,SLA内响应/总工单,%,越大越好,Mark待决,Mark待决,日/周,补数据后可算,工单SLA(需建),F族/IT,F族权益中台,KPI_26投诉率,不为压时效降质量,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T07,合规-KPI-T07,企业级,关键少数,True,合规红线实时预警处置率,Red-line Alert Handling,KPI,合规风控,红线/L1-03,是,已处置预警/触发预警,%,越大越好,Mark待决,门控(红线·pass/fail),日/周,需外部系统,Stella风控引擎(需外部),Stella团队,G族佣金合规,KPI_29·KPI_28,门控不加权,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;置信度
KPI-T08,合规-KPI-T08,企业级,关键少数,True,高风险件实时拦截率,High-Risk Interception,KPI,合规风控,红线/L1-03,是,出账前拦截/高风险件,%,越大越好,Mark待决,门控(红线·pass/fail),日/周,需外部系统,Stella风控引擎(需外部),Stella团队,G族,KPI_28高风险件,门控不加权,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;置信度
KPI-T09,流程-KPI-T09,企业级,关键少数,True,签单转化率(周跟踪),Sign Conversion Weekly,KPI,内部流程,漏斗/L1-02,否,签单/预约(升级KPI_16周频),%,越大越好,Mark待决,Mark待决,日/周,补数据后可算,全流程保单状态(需建),廖小溪,B族/D族,KPI_01总保费,不为转化牺牲合规,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T10,能力-KPI-T10,企业级,关键少数,True,AI Agent任务自动完成率,Agent Task Auto-Completion,KPI,能力与组织,能力/M4,否,Agent自动完成/总任务,%,越大越好,Mark待决,Mark待决,日/周,补数据后可算,Agent日志(需建),IT/M4,各族+中台,人效400→800万,不为自动率牺牲准确,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
KPI-T11,流程-KPI-T11,企业级,关键少数,True,续约前流失预警处置率,Pre-Renewal Churn Handling,KPI,内部流程,VS-1/5/L1-05,否,已处置流失预警/触发,%,越大越好,Mark待决,Mark待决,日/周,补数据后可算,流失预警表(需建),廖小溪/F族,A族/C2/F族,KPI_13·KPI_30,不为留存压价让利,Mark裁定:类型确认(2026-06-24);口径/目标待定,是,LOCKED-部分字段待补,目标值;阈值;置信度
