L1编码,L3编码,L3名称,L4编码,L4名称,核心交付物,介入类型,是否核心介入点,D1_输入结构化,D2_规则清晰,D3_输出可验,D4_API可达,D5_降级可用,D6_合规可编码,总分,推导Tier,资金安全强制关卡,物理执行类,备注
L1-03,L3-COM,佣金全链路管理,L4-COM-14,财务付款执行（待注册）,银行转账回执 / 支票存根,专业审批/资金安全,是,2,2,3,2,1,2,12,Aug,是,,资金安全强制人工关卡
L1-03,L3-COM,佣金全链路管理,L4-COM-15,付款回执归档与台账更新（待注册）,《转介费派发确认台账》,无明显判断成分,否,2,2,2,1,1,1,9,Hybrid,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-16,佣金数据导入与格式转换（待注册）,结构化佣金数据表（供COM-01使用）,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-17,IA合规拦截引擎,Excel + 回执PDF（批量）+ IA规则校验日志,合规签字,是,3,2,2,2,2,3,14,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-18,收款映射版本管理,《收款映射版本管理记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-01,开户需求确认与资料准备,《银行准入评估表》（4维度）。当前无标准，Roy提出按业务支持/关系/手续费/操作便利性评估,组合拍板,是,1,0,1,1,1,1,5,Hybrid,,,D2否决权，当前无标准
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-02,银行柜台办理（外勤）,《银行开户确认函》/《变更回执》,物理执行,是,0,1,2,0,0,1,4,Human,,是,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-03,U盾/Token配置与登记,《支票领用登记台账》。当前支票双签形同虚设（老板签完一本给财务）,专业审批,是,2,2,2,1,2,2,11,Aug,,,⚠️治理发现:现有支票双签形同虚设
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-04,银行对账单接收与分发,《月度对账单接收清单》,无明显判断成分,否,3,2,2,2,1,1,11,Aug,,,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-05,对账单异常与缺失跟进,《对账单缺失跟进记录》,异常介入,是,2,2,2,1,1,1,9,Hybrid,,,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-06,账户信息变更,《变更确认回执》+内部更新记录,专业审批,是,2,1,2,1,1,2,9,Hybrid,,,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-07,账户日常监控与盘点,《账户状态盘点表》,异常介入,否/是(异常时),2,2,2,2,1,1,10,Aug,,,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-08,U盾变更与交接,《U盾变更/交接记录》,物理执行+专业审批,是,1,1,2,0,1,2,7,Hybrid,,是,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-09,银行费用与账户年检,《银行费用汇总表》+《年检完成记录》,合规签字,是,2,1,2,1,1,2,9,Hybrid,,,
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-10,账户注销与资金归集,《注销确认函》+资金转出凭证,专业审批/资金安全,是,1,1,2,1,1,2,8,Hybrid,是,,资金安全强制人工关卡
L1-03,L3-BAM,银行账户基础设施管理,L4-BAM-11,账户档案归档,《账户全生命周期档案袋》,无明显判断成分,否,2,2,2,1,1,1,9,Hybrid,,,
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-01,业务收款预测收集,《各业务线收款预测表》,跨部门协调,是,1,1,2,1,2,2,9,Hybrid,,,
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-02,付款计划汇总,《资金付款审批单》（含原始凭证+计算逻辑）。当前无业务审批，资金付款完全听业务的,专业审批,是,2,0,1,1,1,1,6,Hybrid,,,治理发现:当前无业务审批
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-03,现金缺口识别与应对,《缺口预警》+《资金调度方案》,异常介入,是,2,2,2,2,1,1,10,Aug,,,
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-04,跨主体资金调拨方案制定,《跨主体资金调拨审批单》,专业审批/资金安全,是,1,1,2,1,1,2,8,Hybrid,是,,资金安全强制人工关卡
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-05,资金池归集与监控,《资金池余额监控表》,异常介入,否/是(异常时),2,2,2,2,1,1,10,Aug,,,
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-06,体系外资金对账,《体系外资金对账表》,无明显判断成分,否,2,2,2,1,1,1,9,Hybrid,,,
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-07,银行结余台账维护,《银行结余台账》,无明显判断成分,否,3,2,2,2,1,1,11,Aug,,,
L1-03,L3-CFM,现金流规划与资金调度管理,L4-CFM-08,现金流报告编制与报送,《周度结余报表》+《月度现金流预测报告》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-03,L3-CPM,流程持续监控与优化闭环管理,L4-CPM-01,监控指标与看板设计,《监控指标体系》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-CPM,流程持续监控与优化闭环管理,L4-CPM-02,数据采集与实时监控,实时数据流,异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-CPM,流程持续监控与优化闭环管理,L4-CPM-03,定期深度分析,《月度健康度报告》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-CPM,流程持续监控与优化闭环管理,L4-CPM-04,优化建议评审,《优化决议》,组合拍板,是,2,1,1,1,1,1,7,Hybrid,,,
L1-03,L3-CPM,流程持续监控与优化闭环管理,L4-CPM-05,优化执行与闭环,《优化执行报告》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-01,周度任务规划下达,《周度任务清单》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-02,任务执行与进度同步,任务进度数据,异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-03,执行反馈收集,《执行反馈汇总》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-04,问题识别与响应,《问题响应清单》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-05,周度闭环,周度闭环报告,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-06,任务优先级动态调整,《优先级调整记录》,组合拍板,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-07,跨机构任务依赖管理,《依赖图谱》,跨部门协调,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-08,任务激励机制,《激励发放记录》,专业审批,是,2,2,2,2,2,2,12,Aug,是,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-09,任务冲突裁定,《冲突裁定记录》,战略决策,是,1,0,0,0,0,2,3,Human,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-10,机构自主任务纳管,《自主任务清单》,组合拍板,是,2,0,1,1,1,0,5,Hybrid,,,D2否决权
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-11,紧急任务绕过,《紧急任务处置》,危机应对,是,1,0,0,0,0,2,3,Human,,,
L1-03,L3-EFB,任务管控与执行反馈,L4-EFB-12,任务执行AI自动化,《AI自动化任务清单》,专业审批,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-FBA,理财师业务分析,L4-FBA-01,月度/季度业绩数据汇总,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-FBA,理财师业务分析,L4-FBA-02,月度业绩与活动率分析,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,专业审批,是,2,1,2,2,1,1,9,Hybrid,,,
L1-03,L3-FBA,理财师业务分析,L4-FBA-03,季度分公司经营分析,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-FBA,理财师业务分析,L4-FBA-04,分析报告定稿与总部上报,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-FLM,理财师线索挖掘与招募,L4-FLM-01,年度/季度招募目标制定,《招募计划表》,战略决策,是,2,2,2,2,2,2,12,Aug,,,建议复核:策略拍板语义偏Hybrid
L1-03,L3-FLM,理财师线索挖掘与招募,L4-FLM-02,招募计划制定,Excel/纸质文档。分公司有组织发展经理记录，但总部未统一收集,关系谈判,是,2,1,1,1,1,1,7,Hybrid,,,
L1-03,L3-FLM,理财师线索挖掘与招募,L4-FLM-03,候选人接触与初步评估,《初步接触记录》,关系谈判,是,2,1,1,2,0,1,7,Hybrid,,,
L1-03,L3-FLM,理财师线索挖掘与招募,L4-FLM-04,面试与录用决策,《面试评估记录》,专业审批,是,2,2,2,2,2,2,12,Aug,,,建议复核:录用决策通常需人主导
L1-03,L3-FOB,理财师入职与上岗,L4-FOB-01,入职资料审核与协议准备,《待签协议包》,专业审批,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-FOB,理财师入职与上岗,L4-FOB-02,协议签署与寄总部归档,PDF/纸质签署版。转介协议+权益/培训/顾问协议寄总部归档,合规签字,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-FOB,理财师入职与上岗,L4-FOB-03,系统账号开通与工具配置,PDF/纸质签署版。转介协议+权益/培训/顾问协议寄总部归档,合规签字,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-FOB,理财师入职与上岗,L4-FOB-04,新人90天培养计划启动,PPT/Excel/文档。成都重庆已有成熟模型，新分公司正在整合中,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-FOR,理财师运营支持,L4-FOR-01,首单陪跑配对与计划制定,《陪跑计划》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-FOR,理财师运营支持,L4-FOR-02,首单陪跑执行与记录,《首单陪跑记录》[P1],物理执行,是,2,1,1,1,1,1,7,Hybrid,,是,
L1-03,L3-FOR,理财师运营支持,L4-FOR-03,首单陪跑,Excel/文档。多角色跟进，但记录可能未标准化,物理执行,是,1,0,0,0,0,1,2,Human,,是,
L1-03,L3-FOR,理财师运营支持,L4-FOR-04,BIU运营（恒常出单推动）,PPT/文档。每月制定，推动恒常出单,关系谈判,是,2,1,1,1,1,1,7,Hybrid,,,
L1-03,L3-FPG,理财师绩效与激励,L4-FPG-01,月度/季度考核指标设定,Excel。正在制定中，尚未定稿,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,"建议复核:备注称尚未定稿,与Auto矛盾"
L1-03,L3-FPG,理财师绩效与激励,L4-FPG-02,月度绩效数据收集与评估,《月度绩效评估表》,专业审批,是,0,0,0,0,0,1,1,Human,,,
L1-03,L3-FPG,理财师绩效与激励,L4-FPG-03,季度激励核算,《季度激励核算表》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,是,,
L1-03,L3-FPG,理财师绩效与激励,L4-FPG-04,权益兑现与激励方案,Excel/文档。季度方案（非强制协议），按进人/产能给予支持,关系谈判,是,2,1,1,1,1,1,7,Hybrid,,,
L1-03,L3-FTR,理财师培训与转介签约,L4-FTR-01,培训需求评估与课程安排,PPT/视频/表格。总部资料库，含配套督导工具和表格,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-FTR,理财师培训与转介签约,L4-FTR-02,产品与合规培训执行,PPT/视频/表格。总部资料库，含配套督导工具和表格,合规签字,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-FTR,理财师培训与转介签约,L4-FTR-03,实战演练与陪访配对,PPT/视频/表格。总部资料库，含配套督导工具和表格,物理执行,是,2,1,2,1,1,1,8,Hybrid,,是,
L1-03,L3-FTR,理财师培训与转介签约,L4-FTR-04,资料库维护与分发,PPT/视频/表格。总部资料库，含配套督导工具和表格,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,旧版人介入点与名称不匹配疑似错位
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-01,合作资格预审与流程启动,《合作资格预审与流程启动计划》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,模板化数据
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-02,项目沟通机制建立,《项目沟通机制建立》,跨部门协调,是,2,2,2,2,1,2,11,Aug,,,模板化数据
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-03,尽职调查执行,牌照核查结果+保司Alice确认+团队配置+业务模式+过往经验。P0: 批次8确认存在SLHK登记表未纳入流程库；合同后置根因为内商务岗位缺失；IT系统bug；V1.4新增：《同行渠道DD查册SOP》+《AML风险评估标准模板》（高/中/低三档）+《渠道合作路径推荐手册》+《渠道DD年度更新流程》,专业审批,是,1,1,2,1,1,2,8,Hybrid,,,"备注揭示流程有缺口,不套模板分"
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-04,牌照核查与保司确认,《牌照核查与保司确认记录》,合规签字,是,2,1,2,1,1,2,9,Hybrid,,,同上
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-05,DD Form执行与股东穿透查册,牌照核查结果+保司Alice确认+团队配置+业务模式+过往经验。P0: 批次8确认存在SLHK登记表未纳入流程库；合同后置根因为内商务岗位缺失；IT系统bug；V1.4新增：《同行渠道DD查册SOP》+《AML风险评估标准模板》（高/中/低三档）+《渠道合作路径推荐手册》+《渠道DD年度更新流程》,合规签字,是,1,1,2,1,1,2,8,Hybrid,,,
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-06,AML风险评估与三档评级,牌照核查结果+保司Alice确认+团队配置+业务模式+过往经验。P0: 批次8确认存在SLHK登记表未纳入流程库；合同后置根因为内商务岗位缺失；IT系统bug；V1.4新增：《同行渠道DD查册SOP》+《AML风险评估标准模板》（高/中/低三档）+《渠道合作路径推荐手册》+《渠道DD年度更新流程》,合规签字,是,2,2,2,1,1,1,9,Hybrid,,,
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-07,双路径渠道准入判断,牌照核查结果+保司Alice确认+团队配置+业务模式+过往经验。P0: 批次8确认存在SLHK登记表未纳入流程库；合同后置根因为内商务岗位缺失；IT系统bug；V1.4新增：《同行渠道DD查册SOP》+《AML风险评估标准模板》（高/中/低三档）+《渠道合作路径推荐手册》+《渠道DD年度更新流程》,专业审批,是,1,1,2,1,1,2,8,Hybrid,,,
L1-03,L3-IBRD,合作伙伴需求分析与诊断,L4-IBRD-08,DD Form年度更新触发,牌照核查结果+保司Alice确认+团队配置+业务模式+过往经验。P0: 批次8确认存在SLHK登记表未纳入流程库；合同后置根因为内商务岗位缺失；IT系统bug；V1.4新增：《同行渠道DD查册SOP》+《AML风险评估标准模板》（高/中/低三档）+《渠道合作路径推荐手册》+《渠道DD年度更新流程》,异常介入,是,2,2,2,2,1,1,10,Aug,,,
L1-03,L3-KAET,KA评估定级,L4-KAET-01,KA背景信息收集,《KA背景信息表》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-03,L3-KAET,KA评估定级,L4-KAET-02,KA资质合规核查,《资质核查记录》,合规签字,是,2,2,2,2,1,2,11,Aug,,,
L1-03,L3-KAET,KA评估定级,L4-KAET-03,KA潜力综合判断,《KA潜力判断记录》,专业审批/组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-KAET,KA评估定级,L4-KAET-04,KA评估与分级,Excel模板（待建设）。当前无定级体系，由MoMo根据合规要求和经验判断。流程蓝图V1.1确认无评估标准模板,专业审批,是,1,0,1,1,1,1,5,Hybrid,,,"D2否决权,规则不存在"
L1-03,L3-KASC,KA转介合同起草与签订,L4-KASC-01,首次培训与资料包发放,PDF签署版法律文件。P1: 批次8确认合同后置根因为内商务岗位缺失；BD画像表需中台主动补全,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,治理发现:内商务岗位缺失
L1-03,L3-KASC,KA转介合同起草与签订,L4-KASC-02,首单意向跟进与约单,PDF签署版法律文件。P1: 批次8确认合同后置根因为内商务岗位缺失；BD画像表需中台主动补全,关系谈判,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-KASC,KA转介合同起草与签订,L4-KASC-03,合同模板发送与说明,《合同发送记录》,无明显判断成分,否,3,2,2,2,1,1,11,Aug,,,
L1-03,L3-KASC,KA转介合同起草与签订,L4-KASC-04,合同签回跟进与归档,《已签合同》,合规签字,是,2,2,2,1,1,2,10,Aug,,,
L1-03,L3-NG,商务谈判与合同制定流程,L4-NG-01,合同谈判与审核,《合同终稿》,关系谈判,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-NG,商务谈判与合同制定流程,L4-NG-02,合同签署与信息同步,合同/协议文件,合规签字,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-SDS,服务相关商务合同起草与签订,L4-SDS-01,起草合同要点确认,《起草合同要点确认》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-SDS,服务相关商务合同起草与签订,L4-SDS-02,签署核对与完成,已签服务协议/RW协议登记表,无明显判断成分,否,2,1,2,1,1,1,8,Hybrid,,,旧版人介入点与名称不匹配疑似错位
L1-03,L3-SDS,服务相关商务合同起草与签订,L4-SDS-03,多方商务谈判,《多方商务谈判纪要》,关系谈判,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-UCR,合规风险评估,L4-UCR-01,合同条款深度映射,《合规风险评估》,合规签字/专业审批,是,2,2,2,1,1,2,10,Aug,,,
L1-03,L3-UCR,合规风险评估,L4-UCR-02,设计约束条件生成,《设计约束条件生成文档》,合规签字/专业审批,是,2,2,2,1,1,2,10,Aug,,,
L1-03,L3-UCR,合规风险评估,L4-UCR-03,机构风险偏好综合评估,《风险偏好评估》,合规签字/专业审批,是,2,2,2,1,1,2,10,Aug,,,"建议单独核实,可能应为Hybrid"
L1-03,L3-USV,运营服务事项设计与内部验证,L4-USV-01,最小可行方案（MVP）原型构建,《服务事项设计书》,创意判断,是,2,1,2,1,1,1,8,Hybrid,,,旧版人介入点与名称不匹配疑似错位
L1-03,L3-USV,运营服务事项设计与内部验证,L4-USV-02,联合评审与迭代优化,《组织与岗位方案》,跨部门协调,是,2,1,2,1,1,1,8,Hybrid,,,
L1-03,L3-USV,运营服务事项设计与内部验证,L4-USV-03,最终交付物制作与标准核定,《最终交付物制作与标准核定》,创意判断,是,1,0,1,0,0,1,3,Human,,,
L1-03,L3-USV,运营服务事项设计与内部验证,L4-USV-04,交付物内部验收与知识转移准备,《交付物内部验收与知识转移准备》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,旧版人介入点与名称不匹配疑似错位
L1-01,L3-SFC,策略可行性评估与沟通流程,L4-SFC-01,可行性评估准备,《可行性报告》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,"旧版误标Aug,阈值修正"
L1-01,L3-SFC,策略可行性评估与沟通流程,L4-SFC-02,策略评估与优化,《策略评估与优化报告》,战略决策,是,2,1,2,1,1,1,8,Hybrid,,,"旧版误标Aug,阈值修正"
L1-01,L3-SFC,策略可行性评估与沟通流程,L4-SFC-03,策略沟通落地,《传达完成度报告》,跨部门协调,是,2,1,1,1,1,1,7,Hybrid,,,旧版人介入点与名称不匹配
L1-01,L3-SPE,人员绩效管理流程,L4-SPE-01,目标体系设计,业务目标分解方案,战略决策/组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,"旧版误标Aug,阈值修正"
L1-01,L3-SPE,人员绩效管理流程,L4-SPE-02,指标系统建立,岗位KPI指标方案,专业审批,是,0,0,1,0,0,1,2,Human,,,"旧版人介入点与名称疑似不符,待核实"
L1-01,L3-SPE,人员绩效管理流程,L4-SPE-03,绩效管理机制,绩效方案（按岗位/板块下发）,合规签字/专业审批,是,2,2,2,2,1,2,11,Aug,,,"旧版误标Auto,阈值修正"
L1-02,L3-IAC-AUTH,授权确认（拆分后）,L4-IAC-04,合同签署与监管备案,已签署合同+监管备案号,合规签字,是,1,0,0,0,0,2,3,Human,,,
L1-02,L3-IAC-AUTH,授权确认（拆分后）,L4-IAC-05,合同启动与进入IRI,进入指令,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IAC-AUTH,授权确认（拆分后）,L4-IAC-09,合同履约前置准备,《履约前置清单》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IAC-AUTH,授权确认（拆分后）,L4-IAC-10,合同生效后信息同步,《生效通知记录》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IAC-AUTH,授权确认（拆分后）,L4-IAC-11,合同条款版本管理,《版本变更记录》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IAC-AUTH,授权确认（拆分后）,L4-IAC-13,紧急授权调整,《紧急调整记录》,危机应对,是,1,0,0,0,0,1,2,Human,,,
L1-02,L3-IAC-NEG,合同谈判（拆分后）,L4-IAC-01,商务条款初步谈判,《商务条款备忘录》,关系谈判,是,0,0,0,0,0,1,1,Human,,,
L1-02,L3-IAC-NEG,合同谈判（拆分后）,L4-IAC-02,合同草拟与内部审查,《合同草案V1》,合规签字,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IAC-NEG,合同谈判（拆分后）,L4-IAC-03,保司反馈与谈判迭代,《合同终稿》,关系谈判,是,2,1,1,0,0,1,5,Hybrid,,,
L1-02,L3-IAC-NEG,合同谈判（拆分后）,L4-IAC-06,授权分级获取策略,《授权获取路线图》,战略决策,是,2,0,1,1,2,1,7,Hybrid,,,
L1-02,L3-IAC-NEG,合同谈判（拆分后）,L4-IAC-07,合同谈判让步边界,《让步边界清单》⚠️待建设,战略决策,是,0,0,0,0,0,1,1,Human,,,交付物标注待建设
L1-02,L3-IAC-NEG,合同谈判（拆分后）,L4-IAC-08,多部门会签并行,《会签记录》,跨部门协调,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IAC-NEG,合同谈判（拆分后）,L4-IAC-12,跨境合同特殊处理,《跨境合规附加条款》,合规签字,是,2,0,1,1,1,1,6,Hybrid,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-01,目标保司识别优先级,《目标保司清单》,战略决策,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-02,首次接触与价值主张,接触反馈,关系谈判,是,2,0,0,2,0,1,5,Hybrid,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-03,定制化能力展示,《能力展示材料》,关系谈判,是,2,1,1,1,1,1,7,Hybrid,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-04,保司尽调与现场考察,《尽调回复材料》,关系谈判,是,2,1,1,0,1,1,6,Hybrid,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-05,意向确认与可行性报告,《可行性报告》,战略决策,是,2,0,0,0,0,1,3,Human,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-06,保司决策链图谱,《决策链图谱》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-07,竞品MGA排挤应对,《应对策略记录》,危机应对,是,2,1,2,1,1,1,8,Hybrid,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-08,长周期关系维护,《关系维护记录》,关系谈判,是,2,0,1,2,0,1,6,Hybrid,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-09,战略级保司差异化,《战略级服务方案》,战略决策,是,1,0,0,0,0,1,2,Human,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-10,保司内部盟友培养,《盟友地图》,关系谈判,是,0,0,0,0,0,1,1,Human,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-12,保司Pipeline动态管理,《Pipeline看板》,无明显判断成分,否,3,3,3,3,2,2,16,Auto,,,
L1-02,L3-IAO,保司合作接洽与评估,L4-IAO-13,失败保司二次机会,《二次跟进记录》,关系谈判,是,2,2,2,2,2,2,12,Aug,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-01,赋能业绩归属规则,《归属规则》（A/B共享KPI）,战略决策,是,2,0,0,0,0,2,4,Human,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-02,赋能前能力基线诊断,《能力基线报告》⚠️待建设,专业审批,是,2,2,2,2,2,2,12,Aug,,,交付物标注待建设
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-03,赋能成本分摊,《成本分摊方案》,专业审批,是,2,2,2,2,2,2,12,Aug,是,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-04,赋能退出机制,《退出流程》,关系谈判,是,2,1,1,0,1,1,6,Hybrid,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-05,方法论IP保护,《IP保护清单》,合规签字,是,2,1,1,1,1,1,7,Hybrid,,,
L1-02,L3-IBE,保司业务运营赋能,L4-IBE-06,营销方案制定,《营销方案书》,创意判断,是,2,0,1,1,2,1,7,Hybrid,,,
