kpi_id,kpi_name,legacy_ea_id,vn_id,vn_name,kpi_code,dim_kpi_id,match_method,kpi_level,kpi_type,is_mark_kpi,cq_count,sample_cq_id,priority
VN-KPI-024,介入完成率,,VN-CRR-02,续约前流失预警报告,VN-CRR-024,KPI-T07,direct_correspondence,价值节点级,全量registry,False,1,CQ-1246,P0
VN-KPI-025,方案审核通过率,,VN-EQ-01,同行经代服务方案,VN-EQ-025,KPI_15,driver_factor,价值节点级,全量registry,False,1,CQ-1247,P1熔断
VN-KPI-026,同行经代合作转化率,,VN-EQ-01,同行经代服务方案,VN-EQ-026,KPI-T02,driver_factor,价值节点级,全量registry,False,1,CQ-1248,P1熔断
VN-KPI-027,方案匹配准确率,,VN-EQ-02,初版权益规划方案,VN-EQ-027,KPI_15,driver_factor,价值节点级,全量registry,False,1,CQ-1249,P1
VN-KPI-028,方案交付周期,,VN-EQ-02,初版权益规划方案,VN-EQ-028,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1250,P1
VN-KPI-029,推广素材使用率,,VN-EQ-03,权益推广素材包,VN-EQ-029,KPI_30,driver_factor,价值节点级,全量registry,False,1,CQ-1251,P1
VN-KPI-030,业务线采纳率,,VN-EQ-03,权益推广素材包,VN-EQ-030,KPI_30,driver_factor,价值节点级,全量registry,False,1,CQ-1252,P1
VN-KPI-031,方案共识达成率,,VN-EQ-04,终版权益规划方案,VN-EQ-031,KPI_15,driver_factor,价值节点级,全量registry,False,1,CQ-1253,P1
VN-KPI-032,合作伙伴满意度,,VN-EQ-04,终版权益规划方案,VN-EQ-032,KPI_30,driver_factor,价值节点级,全量registry,False,1,CQ-1254,P1
VN-KPI-033,合同签订周期,,VN-EQ-05,已签权益商务合同,VN-EQ-033,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1255,P1
VN-KPI-034,合规通过率,,VN-EQ-05,已签权益商务合同,VN-EQ-034,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1256,P1
VN-KPI-035,内训覆盖率,,VN-EQ-06,权益内训素材包,VN-EQ-035,KPI_37,driver_factor,价值节点级,全量registry,False,1,CQ-1257,P1
VN-KPI-036,交付经理满意度,,VN-EQ-06,权益内训素材包,VN-EQ-036,KPI_30,driver_factor,价值节点级,全量registry,False,1,CQ-1258,P1
VN-KPI-037,客户入驻成功率,,VN-EQ-07,客户权益赋能包,VN-EQ-037,KPI_30,direct_correspondence,价值节点级,全量registry,False,1,CQ-1259,P1
VN-KPI-038,赋能完成率,,VN-EQ-07,客户权益赋能包,VN-EQ-038,KPI-T03,direct_correspondence,价值节点级,全量registry,False,1,CQ-1260,P1
VN-KPI-039,协议签订周期,,VN-EQ-08,已签服务协议,VN-EQ-039,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1261,P1
VN-KPI-040,服务上架前置合规率,,VN-EQ-08,已签服务协议,VN-EQ-040,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1262,P1
VN-KPI-041,推广触达率,,VN-EQ-09,权益上市推广素材,VN-EQ-041,KPI_30,driver_factor,价值节点级,全量registry,False,1,CQ-1263,P2
VN-KPI-042,业务线采纳率,,VN-EQ-09,权益上市推广素材,VN-EQ-042,KPI_30,driver_factor,价值节点级,全量registry,False,1,CQ-1264,P2
VN-KPI-043,分级准确率,,VN-EQ-10,理财师分级清单,VN-EQ-043,,,价值节点级,全量registry,False,1,CQ-1265,P2
VN-KPI-044,公示及时率,,VN-EQ-10,理财师分级清单,VN-EQ-044,,,价值节点级,全量registry,False,1,CQ-1266,P2
VN-KPI-045,需求确认完整率,,VN-EQ-11,经确认的客户权益需求清单,VN-EQ-045,KPI_30,driver_factor,价值节点级,全量registry,False,1,CQ-1267,P1
VN-KPI-046,需求变更率,,VN-EQ-11,经确认的客户权益需求清单,VN-EQ-046,,,价值节点级,全量registry,False,1,CQ-1268,P1
VN-KPI-047,报告准确率,,VN-FBA-01,月度/季度经营分析报告,VN-FBA-047,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1269,P1
VN-KPI-048,分析覆盖率,,VN-FBA-01,月度/季度经营分析报告,VN-FBA-048,,,价值节点级,全量registry,False,1,CQ-1270,P1
VN-KPI-049,偏差发现及时率,,VN-FBA-01,月度/季度经营分析报告,VN-FBA-049,,,价值节点级,全量registry,False,1,CQ-1271,P1
VN-KPI-050,招募计划完成率,,VN-FLM-01,招募计划与执行记录,VN-FLM-050,,,价值节点级,全量registry,False,1,CQ-1272,P1
VN-KPI-051,招募执行覆盖率,,VN-FLM-01,招募计划与执行记录,VN-FLM-051,,,价值节点级,全量registry,False,1,CQ-1273,P1
VN-KPI-052,协议签署率,,VN-FOB-01,转介协议及附属协议签署版,VN-FOB-052,KPI_16,direct_correspondence,价值节点级,全量registry,False,1,CQ-1274,P0
VN-KPI-053,归档完整率,,VN-FOB-01,转介协议及附属协议签署版,VN-FOB-053,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1275,P0
VN-KPI-054,新人留存率,,VN-FOB-02,新人90天培养计划,VN-FOB-054,KPI_36,direct_correspondence,价值节点级,全量registry,False,1,CQ-1276,P1
VN-KPI-055,首单转化率,,VN-FOB-02,新人90天培养计划,VN-FOB-055,KPI_16,direct_correspondence,价值节点级,全量registry,False,1,CQ-1277,P1
VN-KPI-056,培养目标达成率,,VN-FOB-02,新人90天培养计划,VN-FOB-056,KPI_03,direct_correspondence,价值节点级,全量registry,False,1,CQ-1278,P1
VN-KPI-057,首单转化率,,VN-FOR-01,首单陪跑记录,VN-FOR-057,KPI_16,direct_correspondence,价值节点级,全量registry,False,1,CQ-1279,P1
VN-KPI-058,陪跑覆盖率,,VN-FOR-01,首单陪跑记录,VN-FOR-058,KPI-T04,direct_correspondence,价值节点级,全量registry,False,1,CQ-1280,P1
VN-KPI-059,出单周期,,VN-FOR-01,首单陪跑记录,VN-FOR-059,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1281,P1
VN-KPI-060,营销启发案执行率,,VN-FOR-02,月度营销启发案,VN-FOR-060,KPI-T05,direct_correspondence,价值节点级,全量registry,False,1,CQ-1282,P1
VN-KPI-061,活动参与率,,VN-FOR-02,月度营销启发案,VN-FOR-061,KPI-T05,direct_correspondence,价值节点级,全量registry,False,1,CQ-1283,P1
VN-KPI-062,恒常出单率,,VN-FOR-02,月度营销启发案,VN-FOR-062,KPI-T05,direct_correspondence,价值节点级,全量registry,False,1,CQ-1284,P1
VN-KPI-063,指标定稿率,,VN-FPG-01,月度/季度考核指标表,VN-FPG-063,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1285,P1
VN-KPI-064,指标覆盖率,,VN-FPG-01,月度/季度考核指标表,VN-FPG-064,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1286,P1
VN-KPI-065,绩效挂钩执行率,,VN-FPG-01,月度/季度考核指标表,VN-FPG-065,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1287,P1
VN-KPI-066,激励方案覆盖率,,VN-FPG-02,季度激励方案,VN-FPG-066,,,价值节点级,全量registry,False,1,CQ-1288,P1
VN-KPI-067,核算准确率,,VN-FPG-02,季度激励方案,VN-FPG-067,,,价值节点级,全量registry,False,1,CQ-1289,P1
VN-KPI-068,发放及时率,,VN-FPG-02,季度激励方案,VN-FPG-068,,,价值节点级,全量registry,False,1,CQ-1290,P1
VN-KPI-069,培训覆盖率,,VN-FTR-01,培训课程体系（含配套工具）,VN-FTR-069,KPI_36,driver_factor,价值节点级,全量registry,False,1,CQ-1291,P1
VN-KPI-070,资料使用率,,VN-FTR-01,培训课程体系（含配套工具）,VN-FTR-070,KPI_37,driver_factor,价值节点级,全量registry,False,1,CQ-1292,P1
VN-KPI-071,培训满意度,,VN-FTR-01,培训课程体系（含配套工具）,VN-FTR-071,KPI_37,direct_correspondence,价值节点级,全量registry,False,1,CQ-1293,P1
VN-KPI-072,绩效方案覆盖率,,VN-HR-03,绩效方案,VN-HR-072,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1294,P1
VN-KPI-073,绩效方案及时率,,VN-HR-03,绩效方案,VN-HR-073,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1295,P1
VN-KPI-074,绩效考核结果应用率,,VN-HR-03,绩效方案,VN-HR-074,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1296,P1
VN-KPI-075,人效分析覆盖率,,VN-HR-04,人效分析报告,VN-HR-075,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1297,P1
VN-KPI-076,分析结论采纳率,,VN-HR-04,人效分析报告,VN-HR-076,,,价值节点级,全量registry,False,1,CQ-1298,P1
VN-KPI-077,报告产出时效,,VN-HR-04,人效分析报告,VN-HR-077,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1299,P1
VN-KPI-078,诊断报告覆盖率,,VN-HR-05,人力资源诊断与改善建议报告,VN-HR-078,,,价值节点级,全量registry,False,1,CQ-1300,P0
VN-KPI-079,改善建议执行率,,VN-HR-05,人力资源诊断与改善建议报告,VN-HR-079,,,价值节点级,全量registry,False,1,CQ-1301,P0
VN-KPI-080,问题闭环率,,VN-HR-05,人力资源诊断与改善建议报告,VN-HR-080,,,价值节点级,全量registry,False,1,CQ-1302,P0
VN-KPI-081,编制准确率,,VN-HR-06,岗位编制方案,VN-HR-081,KPI_31,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1303,P1
VN-KPI-082,岗位设计认可度,,VN-HR-06,岗位编制方案,VN-HR-082,KPI_31,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1304,P1
VN-KPI-083,编制执行偏差率,,VN-HR-06,岗位编制方案,VN-HR-083,KPI_31,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1305,P1
VN-KPI-084,合同签署及时率,,VN-HR-07,员工劳动合同,VN-HR-084,KPI_34,driver_factor,价值节点级,全量registry,False,1,CQ-1306,P0
VN-KPI-085,合同合规率,,VN-HR-07,员工劳动合同,VN-HR-085,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1307,P0
VN-KPI-086,员工档案建档率,,VN-HR-07,员工劳动合同,VN-HR-086,,,价值节点级,全量registry,False,1,CQ-1308,P0
VN-KPI-087,成长路径覆盖率,,VN-HR-08,员工成长路径方案,VN-HR-087,KPI_31,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1309,P1
VN-KPI-088,路径方案执行率,,VN-HR-08,员工成长路径方案,VN-HR-088,,,价值节点级,全量registry,False,1,CQ-1310,P1
VN-KPI-089,员工晋升率,,VN-HR-08,员工成长路径方案,VN-HR-089,KPI_31,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1311,P1
VN-KPI-090,考核覆盖率,,VN-HR-09,绩效考核结果,VN-HR-090,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1312,P1
VN-KPI-091,考核结果确认率,,VN-HR-09,绩效考核结果,VN-HR-091,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1313,P1
VN-KPI-092,结果应用率(调薪,,VN-HR-09,绩效考核结果,VN-HR-092,KPI_03,process_support,价值节点级,全量registry,False,1,CQ-1314,P1
VN-KPI-093,晋升,,VN-HR-09,绩效考核结果,VN-HR-093,,,价值节点级,全量registry,False,1,CQ-1315,P1
VN-KPI-094,培训),,VN-HR-09,绩效考核结果,VN-HR-094,,,价值节点级,全量registry,False,1,CQ-1316,P1
VN-KPI-095,档案完整率,,VN-HR-10,员工档案,VN-HR-095,KPI_17,driver_factor,价值节点级,全量registry,False,1,CQ-1317,P0
VN-KPI-096,档案准确率,,VN-HR-10,员工档案,VN-HR-096,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1318,P0
VN-KPI-097,档案查询响应时效,,VN-HR-10,员工档案,VN-HR-097,KPI_21,direct_correspondence,价值节点级,全量registry,False,1,CQ-1319,P0
VN-KPI-098,报表准确率,,VN-HR-11,人工成本报表,VN-HR-098,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1320,P1
VN-KPI-099,报表及时率,,VN-HR-11,人工成本报表,VN-HR-099,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1321,P1
VN-KPI-100,数据完整率,,VN-HR-11,人工成本报表,VN-HR-100,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1322,P1
VN-KPI-101,归属准确率,,VN-HR-12,人员归属表,VN-HR-101,KPI_31,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1323,P1
VN-KPI-102,更新及时率,,VN-HR-12,人员归属表,VN-HR-102,,,价值节点级,全量registry,False,1,CQ-1324,P1
VN-KPI-103,覆盖率,,VN-HR-12,人员归属表,VN-HR-103,,,价值节点级,全量registry,False,1,CQ-1325,P1
VN-KPI-104,预算准确率,,VN-HR-13,人员预算表,VN-HR-104,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1326,P1
VN-KPI-105,预算提交及时率,,VN-HR-13,人员预算表,VN-HR-105,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1327,P1
VN-KPI-106,资金准备充足率,,VN-HR-13,人员预算表,VN-HR-106,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1328,P1
VN-KPI-107,发放准确率,,VN-HR-14,工资发放凭证,VN-HR-107,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1329,P0
VN-KPI-108,发放及时率,,VN-HR-14,工资发放凭证,VN-HR-108,,,价值节点级,全量registry,False,1,CQ-1330,P0
VN-KPI-109,凭证完整率,,VN-HR-14,工资发放凭证,VN-HR-109,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1331,P0
VN-KPI-110,合作方续约率,,VN-IBRD-02,合作伙伴合作复盘与决策记录,VN-IBRD-110,KPI_13,driver_factor,价值节点级,全量registry,False,1,CQ-1332,P1
VN-KPI-111,合作模式调整周期,,VN-IBRD-02,合作伙伴合作复盘与决策记录,VN-IBRD-111,KPI_21,direct_correspondence,价值节点级,全量registry,False,1,CQ-1333,P1
VN-KPI-112,复盘覆盖率,,VN-IBRD-02,合作伙伴合作复盘与决策记录,VN-IBRD-112,,,价值节点级,全量registry,False,1,CQ-1334,P1
VN-KPI-113,保司接触确认,,VN-INS-01,可行性报告,VN-INS-113,KPI_14,direct_correspondence,价值节点级,全量registry,False,1,CQ-1335,P1
VN-KPI-114,合同签署确认,,VN-INS-02,已签合同+备案号,VN-INS-114,KPI_16,direct_correspondence,价值节点级,全量registry,False,1,CQ-1336,待调研
VN-KPI-115,授权确认,,VN-INS-02,已签合同+备案号,VN-INS-115,KPI_16,direct_correspondence,价值节点级,全量registry,False,1,CQ-1337,待调研
VN-KPI-116,Portfolio管理确认,,VN-INS-05,Portfolio分析报告,VN-INS-116,KPI-T01,direct_correspondence,价值节点级,全量registry,False,1,CQ-1338,P0
VN-KPI-117,项目交付周期,,VN-JOPD-01,联合运营项目交付完成包,VN-JOPD-117,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1339,P1
VN-KPI-118,交付完成率,,VN-JOPD-01,联合运营项目交付完成包,VN-JOPD-118,KPI_20,driver_factor,价值节点级,全量registry,False,1,CQ-1340,P1
VN-KPI-119,各模块就绪率,,VN-JOPD-01,联合运营项目交付完成包,VN-JOPD-119,KPI_20,driver_factor,价值节点级,全量registry,False,1,CQ-1341,P1
VN-KPI-120,销售启动周期,,VN-JOPD-01,联合运营项目交付完成包,VN-JOPD-120,KPI_20,value_chain_decomposition,价值节点级,全量registry,False,1,CQ-1342,P1
VN-KPI-121,培训覆盖率,,VN-KAEM-01,KA培训完成记录,VN-KAEM-121,KPI_36,driver_factor,价值节点级,全量registry,False,1,CQ-1343,P1
VN-KPI-122,培训满意度,,VN-KAEM-01,KA培训完成记录,VN-KAEM-122,KPI_37,direct_correspondence,价值节点级,全量registry,False,1,CQ-1344,P1
VN-KPI-123,资讯发放率,,VN-KAEM-02,KA资讯发放核销记录,VN-KAEM-123,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1345,P1
VN-KPI-124,资讯阅读率（目前收到即算）,,VN-KAEM-02,KA资讯发放核销记录,VN-KAEM-124,KPI-T10,process_support,价值节点级,全量registry,False,1,CQ-1346,P1
VN-KPI-125,评估覆盖率,,VN-KAET-01,KA评估定级记录,VN-KAET-125,,,价值节点级,全量registry,False,1,CQ-1347,P1
VN-KPI-126,定级准确率,,VN-KAET-01,KA评估定级记录,VN-KAET-126,,,价值节点级,全量registry,False,1,CQ-1348,P1
VN-KPI-127,资源分配效率,,VN-KAET-01,KA评估定级记录,VN-KAET-127,KPI_33,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1349,P1
VN-KPI-128,业绩汇总准确率,,VN-KAGA-01,KA业绩汇总,VN-KAGA-128,KPI_01,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1350,P1
VN-KPI-129,偏差对比覆盖率,,VN-KAGA-01,KA业绩汇总,VN-KAGA-129,KPI_09,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1351,P1
VN-KPI-130,策略优化闭环率,,VN-KAGA-01,KA业绩汇总,VN-KAGA-130,KPI_12,rollup_aggregation,价值节点级,全量registry,False,1,CQ-1352,P1
VN-KPI-131,上架完成率,,VN-KAOP-01,KA上架就绪确认,VN-KAOP-131,KPI-T03,direct_correspondence,价值节点级,全量registry,False,1,CQ-1353,P1
VN-KPI-132,从签约到出单周期,,VN-KAOP-01,KA上架就绪确认,VN-KAOP-132,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1354,P1
VN-KPI-133,合同签回周期,,VN-KASC-01,KA合同/协议签署版,VN-KASC-133,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1355,P1
VN-KPI-134,合同签署率,,VN-KASC-01,KA合同/协议签署版,VN-KASC-134,KPI_16,direct_correspondence,价值节点级,全量registry,False,1,CQ-1356,P1
VN-KPI-135,商机转化率,,VN-MGA-01,联合运营需求诊断包,VN-MGA-135,KPI_14,direct_correspondence,价值节点级,全量registry,False,1,CQ-1357,P1熔断
VN-KPI-136,诊断报告交付周期,,VN-MGA-01,联合运营需求诊断包,VN-MGA-136,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1358,P1熔断
VN-KPI-137,方案审核通过率,,VN-MGA-02,联合运营框架方案,VN-MGA-137,KPI_15,driver_factor,价值节点级,全量registry,False,1,CQ-1359,P1熔断
VN-KPI-138,方案交付周期,,VN-MGA-02,联合运营框架方案,VN-MGA-138,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1360,P1熔断
VN-KPI-139,合同签署周期,,VN-MGA-03,联合运营合约包,VN-MGA-139,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1361,P1熔断
VN-KPI-140,交付物完整率,,VN-MGA-03,联合运营合约包,VN-MGA-140,KPI_17,driver_factor,价值节点级,全量registry,False,1,CQ-1362,P1熔断
VN-KPI-141,合同模板复用率,,VN-MGA-03,联合运营合约包,VN-MGA-141,KPI_20,driver_factor,价值节点级,全量registry,False,1,CQ-1363,P1熔断
VN-KPI-142,合同签署周期,,VN-NG-01,同行合作协议/合同终稿,VN-NG-142,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1364,P0
VN-KPI-143,合同签署成功率,,VN-NG-01,同行合作协议/合同终稿,VN-NG-143,KPI_34,driver_factor,价值节点级,全量registry,False,1,CQ-1365,P0
VN-KPI-144,合同归档完整率,,VN-NG-01,同行合作协议/合同终稿,VN-NG-144,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1366,P0
VN-KPI-145,佣金回收周期(KPI#15),,VN-PAY-01,市场佣金制作产出包,VN-PAY-145,KPI_21,direct_correspondence,价值节点级,全量registry,False,1,CQ-1367,P0
VN-KPI-146,佣金口径准确率(KPI#16),,VN-PAY-01,市场佣金制作产出包,VN-PAY-146,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1368,P0
VN-KPI-147,对账差异率(KPI#17),,VN-PAY-02,佣金实收确认表,VN-PAY-147,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1369,P0
VN-KPI-148,对账时效(KPI#18),,VN-PAY-02,佣金实收确认表,VN-PAY-148,KPI_21,direct_correspondence,价值节点级,全量registry,False,1,CQ-1370,P0
VN-KPI-149,应派准确率(KPI#19),,VN-PAY-03,应派清单三件套,VN-PAY-149,KPI_19,direct_correspondence,价值节点级,全量registry,False,1,CQ-1371,P0
VN-KPI-150,争议关闭周期(KPI#20),,VN-PAY-03,应派清单三件套,VN-PAY-150,KPI_20,direct_correspondence,价值节点级,全量registry,False,1,CQ-1372,P0
VN-KPI-151,非持牌占比≤50%(IA硬指标),,VN-PAY-04,转介费派发确认台账,VN-PAY-151,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1373,P0熔断
VN-KPI-152,同行支付≤88%(IA硬指标),,VN-PAY-04,转介费派发确认台账,VN-PAY-152,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1374,P0熔断
VN-KPI-153,实派时效(KPI#21),,VN-PAY-04,转介费派发确认台账,VN-PAY-153,KPI_21,direct_correspondence,价值节点级,全量registry,False,1,CQ-1375,P0熔断
VN-KPI-154,理财师NPS(KPI#24),,VN-PAY-06,理财师综合应派计算清单,VN-PAY-154,KPI_24,direct_correspondence,价值节点级,全量registry,False,1,CQ-1379,P0
VN-KPI-155,综合应派一次通过率(KPI#25),,VN-PAY-06,理财师综合应派计算清单,VN-PAY-155,KPI_19,direct_correspondence,价值节点级,全量registry,False,1,CQ-1380,P0
VN-KPI-156,报销周期(KPI#27),,VN-PAY-08,报销凭证包,VN-PAY-156,KPI_21,direct_correspondence,价值节点级,全量registry,False,1,CQ-1383,P1
VN-KPI-157,合规率,,VN-PAY-08,报销凭证包,VN-PAY-157,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1384,P1
VN-KPI-158,体系外资金覆盖率,,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,VN-PAY-158,,,价值节点级,全量registry,False,1,CQ-1385,P0熔断
VN-KPI-159,对账完整度,,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,VN-PAY-159,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1386,P0熔断
VN-KPI-160,信用评估覆盖率,,VN-RCM-01,渠道信用评估报告,VN-RCM-160,,,价值节点级,全量registry,False,1,CQ-1387,P1
VN-KPI-161,评估周期,,VN-RCM-01,渠道信用评估报告,VN-RCM-161,,,价值节点级,全量registry,False,1,CQ-1388,P1
VN-KPI-162,高风险渠道识别率,,VN-RCM-01,渠道信用评估报告,VN-RCM-162,KPI_28,direct_correspondence,价值节点级,全量registry,False,1,CQ-1389,P1
VN-KPI-163,审计抽样率,,VN-RCM-02,抽样保单审计报告终稿,VN-RCM-163,KPI_27,direct_correspondence,价值节点级,全量registry,False,1,CQ-1390,P1
VN-KPI-164,审计问题闭环率,,VN-RCM-02,抽样保单审计报告终稿,VN-RCM-164,KPI_27,direct_correspondence,价值节点级,全量registry,False,1,CQ-1391,P1
VN-KPI-165,财务审计及时率,,VN-RCM-02,抽样保单审计报告终稿,VN-RCM-165,KPI_27,direct_correspondence,价值节点级,全量registry,False,1,CQ-1392,P1
VN-KPI-166,风险披露完成率,,VN-RSJD-01,保单销售报告,VN-RSJD-166,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1393,P1
VN-KPI-167,产品适当性符合率,,VN-RSJD-01,保单销售报告,VN-RSJD-167,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1394,P1
VN-KPI-168,客户知情同意书签署率,,VN-RSJD-01,保单销售报告,VN-RSJD-168,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1395,P1
VN-KPI-169,保单签收率,,VN-RSJD-02,保单合同,VN-RSJD-169,KPI_16,direct_correspondence,价值节点级,全量registry,False,1,CQ-1396,P1
